56.5; 50; 
59; 63; 
60.5; 53; 
61; 79; 
61.5; 85; 
63; 121; 
66.5; 6; 
66.5; 104; 
71; 34; 
71; 40; 
71.5; 11; 
71.5; 60; 
72; 27; 
73; 54; 
75; 12; 
76.5; 13; 
77; 117; 
77.5; 37; 
78; 70; 
78; 121; 
78.5; 96; 
79.5; 40; 
80; 30; 
80; 55; 
80.5; 100; 
81; 3; 
81; 46; 
81; 104; 
81.5; 95; 
82; 57; 
82.5; 11; 
83; 85; 
83; 97; 
83; 99; 
84; 34; 
84; 71; 
85.5; 47; 
86; 102; 
87; 70; 
87.5; 12; 
87.5; 59; 
87.5; 112; 
87.5; 118; 
88.5; 3; 
89; 57; 
89.5; 86; 
89.5; 96; 
90; 46; 
90; 69; 
90; 95; 
90.5; 7; 
90.5; 54; 
90.5; 61; 
91; 18; 
91; 48; 
91; 82; 
91.5; 5; 
91.5; 76; 
91.5; 111; 
92; 89; 
92; 97; 
92.5; 24; 
92.5; 30; 
93; 55; 
93.5; 39; 
93.5; 42; 
93.5; 94; 
93.5; 113; 
94; 22; 
94; 28; 
94; 59; 
94; 64; 
94; 71; 
94.5; 31; 
94.5; 51; 
94.5; 75; 
94.5; 80; 
94.5; 101; 
94.5; 102; 
94.5; 119; 
95; 41; 
95; 62; 
95; 70; 
95; 100; 
95; 106; 
95.5; 50; 
95.5; 107; 
95.5; 122; 
95.5; 124; 
96; 72; 
96; 92; 
96.5; 77; 
97; 3; 
97; 4; 
97; 7; 
97; 69; 
97.5; 74; 
97.5; 90; 
98; 47; 
98; 48; 
98; 52; 
98; 61; 
98; 86; 
98; 99; 
98; 108; 
98.5; 1; 
98.5; 67; 
99; 78; 
99; 82; 
99; 91; 
99.5; 2; 
99.5; 94; 
99.5; 97; 
99.5; 104; 
99.5; 109; 
99.5; 118; 
99.5; 125; 
100; 10; 
100; 20; 
100; 59; 
100; 73; 
100; 112; 
100; 120; 
100.5; 22; 
100.5; 26; 
100.5; 28; 
100.5; 76; 
101; 5; 
101; 18; 
101; 39; 
101; 64; 
101; 66; 
101.5; 33; 
101.5; 111; 
101.5; 119; 
101.5; 124; 
102; 25; 
102; 29; 
102; 72; 
102; 95; 
102; 113; 
102.5; 31; 
102.5; 50; 
102.5; 79; 
102.5; 107; 
102.5; 122; 
103; 30; 
103; 41; 
103; 71; 
103; 102; 
103.5; 6; 
103.5; 8; 
103.5; 70; 
103.5; 103; 
103.5; 106; 
103.5; 108; 
104; 42; 
104; 44; 
104; 51; 
104; 62; 
104; 69; 
104; 89; 
104.5; 1; 
104.5; 23; 
104.5; 36; 
104.5; 75; 
104.5; 77; 
104.5; 83; 
105; 2; 
105; 7; 
105; 20; 
105; 58; 
105; 60; 
105; 67; 
105; 85; 
105; 91; 
105.5; 14; 
105.5; 52; 
105.5; 92; 
105.5; 123; 
106; 4; 
106; 10; 
106; 90; 
106; 101; 
106.5; 3; 
106.5; 21; 
106.5; 38; 
106.5; 86; 
106.5; 104; 
106.5; 120; 
107; 24; 
107; 32; 
107; 73; 
107.5; 9; 
107.5; 17; 
107.5; 26; 
107.5; 28; 
107.5; 47; 
107.5; 61; 
107.5; 80; 
107.5; 81; 
108; 59; 
108; 72; 
108; 74; 
108; 78; 
108; 84; 
108; 97; 
108.5; 33; 
108.5; 64; 
109; 6; 
109; 12; 
109; 25; 
109; 65; 
109; 109; 
109; 110; 
109; 118; 
109.5; 13; 
109.5; 20; 
109.5; 29; 
109.5; 31; 
109.5; 44; 
109.5; 71; 
109.5; 76; 
109.5; 89; 
109.5; 125; 
110; 5; 
110; 83; 
110.5; 1; 
110.5; 22; 
110.5; 23; 
110.5; 94; 
110.5; 102; 
111; 2; 
111; 14; 
111; 48; 
111; 55; 
111; 58; 
111; 79; 
111; 105; 
111.5; 7; 
111.5; 36; 
111.5; 50; 
111.5; 60; 
111.5; 85; 
111.5; 87; 
111.5; 100; 
111.5; 103; 
111.5; 108; 
112; 30; 
112; 34; 
112; 70; 
112; 107; 
112.5; 4; 
112.5; 9; 
112.5; 10; 
112.5; 35; 
112.5; 52; 
112.5; 67; 
112.5; 119; 
113; 3; 
113; 38; 
113; 57; 
113; 120; 
113; 122; 
113; 124; 
113.5; 15; 
113.5; 21; 
113.5; 43; 
113.5; 91; 
113.5; 123; 
114; 17; 
114; 28; 
114; 37; 
114; 62; 
114; 69; 
114; 73; 
114; 75; 
114; 84; 
114; 86; 
114; 106; 
114.5; 13; 
114.5; 56; 
114.5; 64; 
114.5; 92; 
114.5; 104; 
114.5; 114; 
115; 11; 
115; 26; 
115; 47; 
115; 72; 
115.5; 8; 
115.5; 16; 
115.5; 20; 
115.5; 59; 
115.5; 113; 
116; 25; 
116; 44; 
116; 49; 
116; 66; 
